x,y,yerr,note
0.025,0.001502,0.0,A
0.0,0.000322,0.0,A
0.035,0.002153,0.0,A
0.04,0.00247,0.0,A
0.05,0.003086,0.0,A
0.06,0.003693,0.0,A
0.07,0.004295,0.0,A
0.08,0.004849,0.0,A
0.08,0.004849,0.0,A
0.09,0.005465,0.0,A
0.1,0.006187,0.0,A
0.11,0.007169,0.0,A
0.12,0.008227,0.0,A
0.13,0.009253,0.0,A
0.14,0.010408,0.0,A
0.15,0.01178,0.0,A
0.16,0.013008,0.0,A
0.17,0.01385,0.0,A
0.18,0.014738,0.0,A
0.19,0.015825,0.0,A
0.2,0.017313,0.0,A
0.21,0.018872,0.0,A
0.22,0.018898,0.0,A
0.23,0.01251,0.0,A
0.28,-0.0006227,0.0,A
