% Model,3-zeeman.mph
% Version,COMSOL 6.3.0.290
% Date,"Mar 25 2026, 22:46"
% Dimension,1
% Nodes,41
% Expressions,1
% Description,线结果图
% 弧长 (mm),磁通密度，x 分量
0,12.028814358487143
5,11.811745351180562
10,11.594676343873981
15,11.377607336567397
20,11.052893950618452
25,10.060835971133152
30,9.176422370290204
34.99999999999999,8.29200876944726
40,7.303599603969333
45,6.073618927694961
50,4.947633816055568
55.00000000000001,3.821648704416172
60,2.7115326323060325
65,1.6325840768515312
70,0.537766481867773
75,-0.5570511131159731
80,-1.6763613136613327
84.99999999999999,-2.674809025302722
90,-3.6487641313825145
95.00000000000001,-4.622719237462293
100,-5.586897129299582
105.00000000000003,-6.728118816286611
110.00000000000001,-7.879117717516133
114.99999999999999,-9.030116618745666
120,-10.231755413877053
125,-12.066527979286722
130,-13.85066065079454
135,-15.634793322302356
140,-18.038530906829713
145.00000000000003,-20.57133917140871
150.00000000000006,-22.484542522968205
155,-24.397745874527686
160,-25.984154565654393
164.99999999999997,-27.488631045855787
169.99999999999997,-29.319902186489927
175.00000000000006,-31.15117332712408
180,-33.13924902327236
185,-37.16958522477765
190,-41.04311687076881
195,-44.91664851675998
200,-48.79018016275114
