% Model,zeeman_20260408.mph
% Version,COMSOL 6.3.0.290
% Date,"Apr 9 2026, 07:46"
% Dimension,1
% Nodes,195
% Expressions,1
% Description,线结果图
% 弧长 (mm),磁通密度，x 分量
0,0.6589546092798139
2.5,0.905216765522944
5,1.1514789217660564
7.5,1.397741078009168
10,1.645195777292938
12.5,1.9909736788470602
15,2.3355590373605475
17.5,2.6801443958740254
20,3.0317779942651875
22.500000000000004,3.4558125059779563
25,3.872798777813057
27.5,4.289785049648165
29.999999999999996,4.720311649995128
32.5,5.180804304182855
35,5.627756629858691
37.5,6.074708955534526
40,6.512179883475227
42.5,6.923699676028231
45,7.344700866316361
47.5,7.765702056604517
50,8.197178301130316
52.5,8.61091403617646
55,9.014174716984925
57.5,9.41743539779345
59.99999999999999,9.811103788277851
62.50000000000001,10.192071113330037
65,10.582630728706295
67.5,10.973190344082543
70,11.371946837054326
72.5,11.736926600578853
75,12.093709486507844
77.5,12.450492372436845
80,12.809950007553509
82.5,13.14898969318786
85,13.485354629634525
87.5,13.821719566081189
90,14.131067645965718
92.5,14.51176410903995
95,14.919477428676366
97.5,15.32719074831277
100,15.751299588708928
102.5,16.304280363546177
105,16.84086561762364
107.5,17.377450871701107
110,17.879612549359777
112.50000000000003,18.456040105497987
115.00000000000001,19.06689123805503
117.5,19.677742370612087
119.99999999999999,20.31019781549464
122.49999999999999,20.904836035957683
124.99999999999999,21.4778699440952
127.50000000000001,22.050903852232715
130,22.533200184589806
132.5,22.95502959088401
135,23.467596572958655
137.5,23.980163555033293
140,24.533225100968814
142.5,25.128738095412295
145,25.683756525994873
147.5,26.238774956577473
150,26.772072354189337
152.5,27.371655550586123
155,27.9929597799536
157.5,28.614264009321104
160,29.236676651102712
162.5,30.033093061794588
165,30.8284010600724
167.5,31.623709058350194
170,32.30776241477876
172.5,32.99555265004783
175,33.79459752716613
177.5,34.593642404284445
180,35.4045025153584
182.50000000000003,36.31311275017197
185.00000000000003,37.209907751029895
187.5,38.106702751887816
190,38.74968653017826
192.5,39.7856264199887
195,41.07537753236664
197.5,42.36512864474458
200,43.701566152558584
202.5,45.55544043672941
205,47.36262832546416
207.5,49.16981621419891
210,51.72250923785016
211.5625,51.99504079857152
213.125,51.522067224376386
214.6875,51.04909365018125
216.25,52.445489348705166
217.81249999999997,50.51572226001519
219.375,46.71658589860622
220.93749999999997,42.91744953719723
222.50000000000003,42.4855596123218
225.62499999999997,39.67352307420852
228.75,33.494240099561736
231.875,27.314957124915004
235,18.95156731535376
238.12499999999997,12.585872762967306
241.25000000000003,8.404285045495403
244.375,4.2226973280235
247.50000000000006,0.7460148826772314
249.0625,0.8116535350987673
250.625,0.17238691539468895
252.1875,-0.4668797043094445
253.74999999999997,-1.0487005830947873
255.31249999999997,-1.2615291449695545
256.875,-1.5318034477630396
258.4375,-1.802077750556526
260,-2.030225575278682
261.57457162466915,-2.04331542065405
263.1491432493383,-2.0985317441006472
264.7237148740075,-2.15374806754726
266.29828649867665,-2.2176520957493357
267.93049924629145,-2.207993606168978
269.5627119939062,-2.189647411833095
271.194924741521,-2.1713012174971773
272.82713748913574,-2.1531695297969113
275.054995867759,-2.0895438222897105
277.2828542463821,-2.0257036081468858
279.51071262500534,-1.9618633940040442
281.7385710036285,-1.8955657721172798
284.24817320227965,-1.8170044309197433
286.7577754009307,-1.7409004974661326
289.2673775995818,-1.664796564012522
291.7769797982329,-1.5897502461655904
294.2127080062213,-1.5247832627388196
296.64843621420977,-1.4587586637053642
299.08416442219817,-1.3927340646719142
301.5198926301866,-1.3276445158925216
304.0298825425487,-1.2750692361849822
306.5398724549107,-1.2215589062233752
309.0498623672728,-1.168048576261774
311.5598522796348,-1.1161206210429295
313.9955804876232,-1.0745356737929275
316.43130869561173,-1.0313683518001286
318.86703690360014,-0.9882010298073391
321.3027651115886,-0.9457037706104179
323.8127550239505,-0.9125462324662162
326.3227449363126,-0.8787186315261353
328.8327348486747,-0.8448910305860543
331.3427247610367,-0.8121077838973293
333.7784529690252,-0.7857442295098503
336.2141811770136,-0.7583363208710077
338.64990938500205,-0.730928412232157
341.0856375929905,-0.7041757281086407
343.5956275053526,-0.6829765218047917
346.1056174177146,-0.6611220909856204
348.6156073300766,-0.6392676601664504
351.12559724243863,-0.617994349219981
353.56132545042715,-0.6003849737925767
355.99705365841555,-0.5821944784924646
358.43278186640396,-0.5640039831923574
360.8685100743924,-0.5464313334679505
363.3784999867544,-0.5323509293000404
365.88848989911645,-0.5176526795564291
368.39847981147847,-0.5029544298128144
370.90846972384054,-0.4885889630290973
373.34419793182894,-0.4765537846219806
375.77992613981746,-0.4641858232549646
378.21565434780587,-0.4518178618879486
380.6513825557943,-0.4397194049223584
383.16137246815634,-0.4296662958664377
385.6713623805184,-0.41934368240909226
388.18135229288043,-0.40902106895174406
390.69134220524245,-0.3989702131011739
393.1270704132308,-0.39042652877995954
395.5627986212193,-0.381611086851978
397.9985268292078,-0.3727956449239917
400.43425503719624,-0.3642899483761367
402.9257314735883,-0.3570651171720206
402.9257314735883,-0.357177239702991
403.7562236190522,-0.3545729138328301
403.7562236190522,-0.3546837661630094
405.4172079099802,-0.34958850715445
405.4172079099802,-0.34969681908304684
407.07819220090823,-0.34464879627606304
410.40016078276426,-0.33538753197343574
410.40016078276426,-0.3355276092527335
413.72212936462034,-0.3262745349136186
415.3831136555483,-0.32168301706388513
417.04409794647637,-0.31709149921415153
420.36606652833245,-0.3081905110594311
423.63838877361036,-0.30183444086229544
425.27454989624925,-0.2985153819913565
426.9107110188882,-0.2951963231204173
430.18303326416617,-0.28856359217778244
430.1830332641662,-0.2885528185792908
433.45535550944413,-0.28193613443414856
435.0915166320831,-0.2788932827221886
435.0915166320831,-0.27880825831835127
436.7276777547221,-0.27570291963133964
436.72767775472215,-0.27579579998646014
437.54575831604154,-0.274247058618596
437.54575831604154,-0.2741502502878335
440,-0.26954653838616194
